              Procedure           Image            Address        Calls Instructions       Atomic
                  .text       libc.so.6       7f3765d4f4a0            0          148            0
                   .plt       libc.so.6       7f3765d4f3d0            5           66            0
                  _fini libpthread.so.0       7f37661074f4            1            3            0
       __errno_location libpthread.so.0       7f3766107490            1            3            0
__pthread_mutex_cond_lock libpthread.so.0       7f3766107160            4           92            6
           elision_init libpthread.so.0       7f3766106f00            1            8            0
     __get_cpu_features libpthread.so.0       7f3766106c00            1           88            0
 pthread_getaffinity_np libpthread.so.0       7f37661055c0            8          160            0
              sigaction libpthread.so.0       7f3766105560           11           44            0
       __libc_sigaction libpthread.so.0       7f3766105350           13          836            0
      __lll_unlock_wake libpthread.so.0       7f3766104070            6           60            0
        __lll_lock_wait libpthread.so.0       7f3766103f10            1           20            1
__pthread_disable_asynccancel libpthread.so.0       7f3766103e80            5           24            1
__pthread_enable_asynccancel libpthread.so.0       7f3766103e20            5           35            2
_pthread_cleanup_pop_restore libpthread.so.0       7f3766103b00           11          179            2
_pthread_cleanup_push_defer libpthread.so.0       7f3766103aa0           11          217            1
   _pthread_cleanup_pop libpthread.so.0       7f3766103a70            1            5            0
  _pthread_cleanup_push libpthread.so.0       7f3766103a50            1            6            0
           pthread_once libpthread.so.0       7f3766102a40            1           28            2
  pthread_setcanceltype libpthread.so.0       7f3766102910            8          248            5
 pthread_setcancelstate libpthread.so.0       7f37661027f0            8          168            5
           pthread_kill libpthread.so.0       7f37661025f0            8           63            0
  __pthread_setspecific libpthread.so.0       7f3766102470           11          374            0
  __pthread_getspecific libpthread.so.0       7f37661023f0            3           46            0
     pthread_key_delete libpthread.so.0       7f37661023b0            2           28            1
     pthread_key_create libpthread.so.0       7f3766102350            3           78            1
  pthread_condattr_init libpthread.so.0       7f3766102060            2            6            0
    pthread_cond_signal libpthread.so.0       7f3766101c10            3           87            2
 pthread_cond_timedwait libpthread.so.0       7f3766101690            1          103            8
      pthread_cond_wait libpthread.so.0       7f3766101350            3          213            5
   pthread_cond_destroy libpthread.so.0       7f37661011f0            4          128            4
      pthread_cond_init libpthread.so.0       7f3766101170            4           72            0
pthread_mutexattr_setkind_np libpthread.so.0       7f3766100920            1           12            0
pthread_mutexattr_destroy libpthread.so.0       7f37661008c0            1            2            0
 pthread_mutexattr_init libpthread.so.0       7f37661008b0            3            9            0
          _L_unlock_722 libpthread.so.0       7f3766100895            6           30            0
 __pthread_mutex_unlock libpthread.so.0       7f37661007c0           21          490            1
__pthread_mutex_unlock_usercnt libpthread.so.0       7f37661006e0            4           72            1
            _L_lock_953 libpthread.so.0       7f37660ff663            1            5            0
     pthread_mutex_lock libpthread.so.0       7f37660ff410           21          665            5
  pthread_mutex_destroy libpthread.so.0       7f37660ff3e0            4           36            0
   __pthread_mutex_init libpthread.so.0       7f37660ff2c0            5          150            0
     pthread_getattr_np libpthread.so.0       7f37660fef80            8          520            2
  pthread_attr_getstack libpthread.so.0       7f37660fef30            8           56            0
pthread_attr_setstacksize libpthread.so.0       7f37660fef10            8           40            0
pthread_attr_getstacksize libpthread.so.0       7f37660feea0            1           14            2
pthread_attr_setdetachstate libpthread.so.0       7f37660fed20            8           56            0
   pthread_attr_destroy libpthread.so.0       7f37660fecf0           16           96            0
      pthread_attr_init libpthread.so.0       7f37660fec50           16          496            0
           pthread_self libpthread.so.0       7f37660fe900           20           40            0
           pthread_join libpthread.so.0       7f37660fe5c0            1           65            1
         pthread_create libpthread.so.0       7f37660fd430            8         1736           18
             __free_tcb libpthread.so.0       7f37660fd3f0            1           12            1
           start_thread libpthread.so.0       7f37660fd0c0            8          592            7
  __nptl_deallocate_tsd libpthread.so.0       7f37660fcef0            8         5416            0
   do_clone.constprop.3 libpthread.so.0       7f37660fc150            8          256            4
     __deallocate_stack libpthread.so.0       7f37660fc060            1           35            2
__pthread_initialize_minimal libpthread.so.0       7f37660fbb30            1          176            2
            frame_dummy libpthread.so.0       7f37660fb990            1            3            0
  __do_global_dtors_aux libpthread.so.0       7f37660fb950            1           12            0
     register_tm_clones libpthread.so.0       7f37660fb910            1           13            0
   deregister_tm_clones libpthread.so.0       7f37660fb8e0            1            9            0
                   .plt libpthread.so.0       7f37660fa540           18          213            0
                  _init libpthread.so.0       7f37660fa530            1            4            0
       __pthread_atfork       libomp.so       7f376639ca80            1            5            0
